name,street,housenumber,city,postcode,speciality,opening_hours,website,id,longitude,latitude,wheelchair,description,email,toilets_wheelchair,wheelchair_description,district_id,neighborhood_id,amenity
Dr. med. André Weller,Dietzgenstraße,22,Berlin,13156,ophthalmology,"Mo,Th 08:00-12:00,15:00-17:00; Tu,Fr 08:00-12:00",http://www.augenarzt-pankow.de,747457659,13.4043113,52.5820291,,,,,,11003003,311,practice
Dr. med. Anja Jansen,Greifswalder Straße,87,Berlin,10409,gynaecology,"Mo,We,Fr 08:00-12:00, Tu 08:00-14:30, Th 13:00-19:00, Mo 15:00-19:00",,7249782642,13.4410762,52.5420457,,,,,,11003003,301,practice
"Dr. med. Anja Lilge, Dr. med. Sebastian Kuss",Guerickestraße,11,Berlin,,general;internal,"Mo 08:00-13:00,15:00-18:00; Tu 08:00-13:00; We 08:00-13:00; Th 08:00-13:00,15:00-18:00; Fr 08:00-13:00",https://arztpraxis-charlottenburg.de/,2648384916,13.3182709,52.51747,,,,,,11004004,401,group_practice
Dr. med. Anja Streicher,Bundesallee,53,Berlin,10715,gynaecology,"Mo 08:00-13:00; Tu,We 08:00-13:00; Th 11:00-13:00,14:00-18:00",,7821177809,13.3293785,52.4821581,,,,,,11004004,402,practice
Dr. med. Anke Krampitz,Schloßstraße,29,Berlin,12163,general,"Mo,Tu,Th 08:00-13:00, Mo 15:00-18:00, Fr 08:00-12:00",,9548281679,13.3221707,52.4588678,,,,,,11006006,601,practice
Dr. med. Anna Bohmeyer,Imchenallee,,Berlin,14089,paediatrics,,,13169316975,13.1466479,52.4510906,,,,,,11005005,506,practice
Dr. med. Anna Dorothea Scheytt,Ludolfingerplatz,8,Berlin,13465,internal,"Mo,Tu,Th,Fr 09:00-12:00, Mo 14:00-15:00, Tu 17:00-19:00, Th 16:00-18:00",,10226098944,13.2869888,52.6325376,no,,,,,11012012,1205,practice
"Dr. med. Anna Ledermann, Dr. med. Lassos Kalodikis",Schloßstraße,29,Berlin,12163,dermatology,"Mo 10:00-19:00; Tu 09:00-13:00,15:00-18:00; We 09:00-12:00; Th 09:00-18:00; Fr 09:00-13:00",https://www.praxis-ledermann.de/,9837099331,13.3221587,52.4588377,,,,,,11006006,601,group_practice
Dr. med. Annedore Mette,Schulstraße,18,Berlin,13347,general,"Mo 09:00-12:00, 15:00-18:00; Tu,Th,Fr 09:00-13:00; We 14:00-19:00",https://www.hausarztpraxis-mette.de/,7991213775,13.3630598,52.5485589,no,"Hausarztpraxis, Fachärztin für Allgemeinmedizin",,,,11001001,105,practice
Dr. med. Annette Lubasch,Brüderstraße,,Berlin,13595,,,,2877320034,13.1967364,52.5235074,,,,,,11005005,509,practice
Dr. med. Annette Schuricht,Lindenthaler Allee,,Berlin,14163,general;homeopathy,"Mo, We 09:00-12:00; Tu 15:00-18:00; Fr 08:00-12:00",,6411477095,13.2307257,52.4354414,,,,,,11006006,604,practice
Dr. med. Arijana Radeljik,Levetzowstraße,16,Berlin,10555,otolaryngology,"Mo-Fr 09:00-13:00; Mo,Th 15:00-18:00",,1515662237,13.3371771,52.5202215,no,,,,,11001001,102,practice
Dr. med. Astrid Wever,Falkenberger Straße,153,Berlin,13088,general,"Mo 12:00-18:00; Tu, We 08:00-12:00; Th 09:00-12:00, 15:00-18:00; PH off",,6710543736,13.4811769,52.5562769,no,,,,,11003003,302,practice
Dr. med. Ayhan Dogan,Ebelingstraße,15,Berlin,10249,orthopaedics,"Mo 08:00-12:30,13:30-16:30; Tu 08:00-12:30,13:30-16:30; We 08:00-12:30; Th 12:00-15:30,16:00-19:00; Fr 08:00-12:30",,567546841,13.4507961,52.5237491,limited,,,,,11002002,201,practice
Dr. med. B. Khalili,Britzer Damm,73,Berlin,12347,general;internal,"Mo-Fr 09:00-12:00, Mo,Tu,Th 16:00-18:00",,9839824872,13.4374464,52.4561701,yes,,,,,11008008,802,practice
Dr. med. Beate Blank-Knaut;Wolf-Dieter Knaut,Klausenerplatz,19,Berlin,14059,paediatrics,"Mo,Tu,Th 09:00-12:00,15:00-18:00; We 08:30-12:00; Fr 09:00-13:00",,1948871670,13.2899845,52.5182056,no,,,,,11004004,401,group_practice
Dr. med. Beate Jacob,Schloßstraße,119,Berlin,12163,dermatology,"Mo 08:00-13:00; Tu,We 07:00-13:00; Th,Fr 14:00-19:00; Sa 11:00-15:00; PH,Su off",https://hautarztpraxis-jacob.de/,8177206751,13.3266716,52.4626767,,,,,,11006006,601,practice
Dr. med. Beate Ristow,Galileistraße,31,Berlin,12435,general,Mo 09:30-16:00; Tu 09:30-12:30; Th 09:30-16:00; Fr 09:30-12:30,https://www.hausarzt-dr-ristow.de/,4444771735,13.4787359,52.4806119,,,,,,11009009,902,practice
"Dr. med. Beckmann, U.; Schartz, J.; Behrendt, D.; Dr. ing. Knof, J; Dr. med. Nasseri",Sophie-Charlotten-Straße,92,Berlin,14059,,,,4134304689,13.2878042,52.5158979,,,,,Kernspintomogtaphie (MRT),11004004,401,group_practice
Dr. med. Bernd Hegemann,Hohenzollerndamm,47a,Berlin,10713,dermatology;allergology;dermatovenereology,"Mo 12:00-18:00; Tu,Th 09:00-12:00,15:00-18:00; Fr 09:00-13:00",https://hautarztberlin.de/,8589182870,13.3011812,52.4885783,,,,,,11004004,407,practice
Dr. med. Bernd Metscher,Gustav-Müller-Straße,48,Berlin,10829,internal,"Mo,Tu,Th 09:00-12:00,16:00-18:00; We,Fr 09:00-12:00",,9620656117,13.3626991,52.4850919,,,,,,11007007,701,practice
Dr. med. Bernd Michael Schuster,Alt-Reinickendorf,4-5,Berlin,13407,general,"Mo,Fr 09:00-12:00,15:00-17:00; Tu,Th 09:00-12:00; We 09:00-13:00",,12208874003,13.3578352,52.5747176,,,,,,11012012,1201,practice
Dr. med. Birgit Klee,Straßmannstraße,23,Berlin,10249,general,"Mo,We 09:00-14:00; Tu,Th 14:00-16:00; Fr 09:00-12:00",https://www.arztpraxis-klee.de,567546837,13.4509141,52.5226306,no,,,,,11002002,201,practice
Dr. med. Birgit Radisch,Sonnenallee,43,Berlin,12045,gynaecology,"Mo 09:00-17:00; Tu,Th 15:00-18:00; We 14:00-17:00, We,Fr 09:00-13:00",,8491718819,13.4318601,52.485723,,,,,,11008008,801,practice
Dr. med. Björn Peglow,Ruschestraße,109,Berlin,10365,gynaecology,"Mo 10:00-12:00,13:00-18:00; Tu,Th 13:00-18:00; We 08:00-12:00; Fr 08:00-11:00",https://www.dr-peglow.de/,8954061905,13.4858872,52.5150115,yes,,,,,11011011,1103,practice
Dr. med. Brigitte Bachmann,Anna-Seghers-Straße,118,Berlin,12489,general,"Mo 11:00-18:00, Tu 08:00-13:00, We 15:00-18:00, Th 08:00-15:00, Fr 08:00-12:00; PH off",,4079101626,13.5436805,52.4351925,no,,,,,11009009,907,practice
Dr. med. Cara-Romana Wunderlich & Dr. med. Nadja Gorstein,Residenzstraße,95,Berlin,13409,ophthalmology,"Mo-Tu,Th-Fr 09:00-12:00; Mo,Tu,Th 16:00-18:00",,7991085484,13.3686657,52.5609741,yes,"Augenarzt, keine Terminvereinbarung nötig",,,,11012012,1201,group_practice
Dr. med. Carola Heimann,Pichelsdorfer Straße,61,Berlin,,gynaecology,"Mo, Tu, Th, Fr 08:30-12:30; Tu, Th 15:00-18:00",,7623044673,13.1975068,52.5190608,,Frauenärztin Medikamentöse Tumortherapie Palliativmedizin,,,,11005005,509,practice
Dr. med. Carola Stein,Nassauische Straße,16a,Berlin,10717,psychiatry;general;homeopathy,"""nach Vereinbarung""",,11514288416,13.3261348,52.490919,,,,,,11004004,402,practice
Dr. med. Caroline Heimpel,Volkradstraße,32,Berlin,10319,general,"Mo,We,Fr 09:00-13:30; Tu,Th 13:00-18:00; PH off",https://www.arztpraxisdr-med-carolineheimpel.de,6205640749,13.5071982,52.4995464,yes,,,,,11011011,1101,practice
Dr. med. Carsten Schwarz,Auguststraße,1,Berlin,10117,general;sports,,https://www.dr-carstenschwarz.de/,5456067140,13.3906909,52.5257115,limited,,,,,11001001,101,practice
Dr. med. Cathleen Barth,Berliner Straße,53,Berlin,13189,general,"Tu,Th 14:00-19:00; Mo,We 08:00-13:00",https://www.dr-barth-und-rast.de,2821462304,13.4129533,52.5585308,,,,,,11003003,307,practice
Dr. med. Ch. Heckmann,Fregestraße,58,Berlin,12159,ophthalmology,"""Nach Vereinbarung""",,1694534895,13.3371328,52.4680535,no,,,,,11007007,701,practice
Dr. med. Christian Lechelt,Elisabethstraße,31,Berlin,12247,diabetology;internal,"Mo 08:00-12:00,16:00-19:00; Tu 08:00-14:00; We 12:30-18:00; Th 08:00-12:00,15:00-18:00; Fr 08:00-12:00",https://www.diabetologeberlin.de/,3039574834,13.3356428,52.4324375,limited,,kontakt@diabetologeberlin.de,,kein WC,11006006,603,practice
Dr. med. Christian Meuer,Kurfürstendamm,93,Berlin,10709,orthopaedics,"Mo,Tu,Th 08:00-13:00,15:00-18:00; We,Fr 08:00-13:00",https://www.orthopaedie-kurfuerstendamm.de/,9587997328,13.2999511,52.4990139,,,,,,11004004,407,practice
Dr. med. Christian Ritter,Rüdesheimer Straße,6,Berlin,14197,ophthalmology,"Mo,Th 08:00-12:30,15:00-18:00; Tu 08:00-13:30; Fr 08:00-12:30, We ""nach Vereinbarung""",https://www.mein-augenarzt.berlin/,8071205628,13.3140772,52.4734375,no,,,,,11004004,402,practice
Dr. med. Christian Vermehren,Südwestkorso,19,Berlin,14197,internal,"Mo-Th 09:00-12:00,15:00-18:00; Fr 09:00-12:00",,8143926004,13.31948,52.4719978,,,,,,11004004,402,practice
Dr. med. Christiane Einnolf,Bennigsenstraße,8 II,Berlin,12159,psychotherapy;psychiatry,"""Sprechstunden nach Vereinbarung""",,7640621669,13.3387579,52.4762802,,"Fachärztin für Psychosomatische Medizin und Psychotherapie, Psychoanalyse",,,,11007007,702,practice
Dr. med. Christiane Sachse und Dr. med. Stefan Prollius Urologie,Helene-Weigel-Platz,11,Berlin,12681,urology,,,2021506140,13.5423988,52.526867,yes,,,,,11010010,1001,practice
Dr. med. Christiane Wolf,Fontanepassage,,Berlin,13439,general,"Mo-Fr 08:00-14:00,15:00-19:00; Sa 10:00-13:00",,11002529644,13.3555395,52.5977084,,,,,,11012012,1210,practice
Dr. med. Christoph Dickert,Müllerstraße,,Berlin,13353,dermatology;allergology,"Mo,Tu,Th 09:00-12:00,15:00-18:00; Fr 09:00-12:00",,6603762792,13.3533311,52.549344,yes,,,,,11001001,105,practice
Dr. med. Claas Mehlhop,Matkowskystraße,2,Berlin,10245,,"Mo 12:00-15:00; Tu,We 10:00-13:00; Th 15:00-18:00; Fr 09:00-12:00",http://www.claas-mehlhop.de,3612819081,13.4643013,52.5051351,yes,Currently closed - zur Zeit zu,,,,11002002,201,practice
Dr. med. Clemens Braun,Chausseestraße,44a,Berlin,14109,general,"Mo-Th 08:30-12:00,16:00-19:00; Fr 08:30-12:00",https://wannseepraxis.de,11983731728,13.1442425,52.4140011,,,,,,11006006,607,practice
Dr. med. Corinna Ostapowicz,Berliner Allee,82,Berlin,13088,gynaecology,"Mo,Fr 09:00-13:00; Tu,Th 13:00-18:00; We 08:00-12:00",https://frauenarzt-berlin-pankow.de/,9420357285,13.4562036,52.5492676,yes,,info@frauenarztpraxis-ostapowicz.de,,,11003003,302,practice
Dr. med. Cornelia Janke,Am Bruchland,,Berlin,12524,general,"Mo,We 08:00-14:00; Tu 13:00-18:00; Th-Fr 08:00-12:00",https://www.jankemed.de/,4890379783,13.5276471,52.4247869,,,arztpraxis@jankemed.de,,,11009009,906,practice
Dr. med. Cornelius J. Rottacker,Friedrich-Wilhelm-Platz,6,Berlin,12161,gynaecology;psychiatry,"Mo 14:00-19:00; Tu,Th 08:00-13:00; We 12:00-16:00; Fr 09:00-14:00",http://www.frauenarzt-friedenau.de,8199219264,13.3275625,52.4720083,no,,,,,11007007,702,practice
Dr. med. Cornelius Schwarz,Bundesallee,104/105,Berlin,12161,gynaecology,Mo 14:00-20:00; Tu 08:00-14:00; Th 14:00-20:00; Fr 08:00-13:00,http://www.frauengesundheit-friedenau.de/,8355450076,13.3286401,52.46567,,,,,,11007007,702,practice
Dr. med. Cuno Theobald,Marburger Straße,12,Berlin,10789,gastroenterology,,,8264511448,13.3365416,52.5020601,,,,,,11004004,401,practice
Dr. med. Damian Johannes Zydra,Hermannplatz,5,Berlin,10967,general,"Mo-Fr 08:00-11:00, Mo,Tu,Th 14:00-16:00",,5133964243,13.4251218,52.4868985,,,,,,11008008,801,practice
Dr. med. Daniela Senger,Bundesallee,104/105,Berlin,12161,gynaecology,"Mo,Th 08:00-14:00; Tu 14:00-20:00; Fr 13:00-19:00",https://www.frauenheilkunde-friedenau.de/,8355450074,13.3287083,52.4657041,,,,,,11007007,702,practice
Dr. med. Davood Rafii,Waßmannsdorfer Chaussee,1b,Berlin,12355,urology,"Mo-Tu,Th 09:00-12:00, Mo 15:30-18:30, Tu,Th 15:00-17:00; We ""Mittwoch nur nach Vereinbarung""; Fr 09:00-12:00 open ""nur nach Vereinbarung""",,9047951939,13.4962124,52.4148854,,,,,,11008008,804,practice
Dr. med. Dieter Schmidt,Blücherstraße,23,Berlin,10961,general,"Mo,We,Fr 08:00-12:00; Tu,Th 09:30-13:00,15:00-18:00",,5431162002,13.3989897,52.4942314,no,,,no,,11002002,202,practice
Dr. med. Dirk W. Baumhauer,Badensche Straße,18,Berlin,10715,ophthalmology,,,8245997147,13.3324323,52.4862588,,,,,,11004004,402,practice
Dr. med. Dorothea Assenov-Lammert,Lichtenrader Straße,22,Berlin,12049,general,"Mo,Tu,Th,Fr 09:00-12:00; Mo,Th 16:00-18:00",,7255396680,13.4206508,52.4746185,,,,,,11008008,801,practice
Dr. med. Dorothea Budde,Ferdinandstraße,5,Berlin,12209,paediatrics,"Mo,We,Th 09:00-12:30; Mo,Tu 15:30-18:00; Th 15:00-18:00; Fr 15:30-18:00",,6652912243,13.3285787,52.426811,yes,,,,,11006006,602,practice
Dr. med. Dorothea Sperling,Kollwitzstraße,73,Berlin,10435,general,"Mo, Th 08:00-13:00; Tu 15:00-19:00; We 08:00-12:00; Fr 08:00-11:00",https://dr-sperling-berlin.de,3519174204,13.4187921,52.5372942,,,,,,11003003,301,practice
Dr. med. Eberhard Zühlsdorff,Graetschelsteig,2,Berlin,13595,,,,1305299272,13.1870436,52.5172624,no,,,no,,11005005,509,practice
Dr. med. Edgar Lotz,Kurfürstendamm,139,Berlin,10711,internal;sports_medicine,"Mo 08:00-14:00; Tu,Th 09:00-19:00; We 09:00-12:00; Fr 09:00-13:00",,7994883607,13.2956405,52.497585,,,,,,11004004,407,practice
Dr. med. Ekkehard Welker,Residenzstraße,95,Berlin,13409,dermatovenereology,"Tu 09:00-13:00, 14:00-18:00; Fr 09:00-14:00",https://drwelker.de,3832429887,13.3688459,52.5609105,yes,Facharzt für Haut- und Geschlechtskrankheiten,anmeldung@drwelker.de,,,11012012,1201,clinic
Dr. med. Elisabeth Martin & Stefanie Greilinger,Fontanepassage,,Berlin,13439,general,"Mo-Fr 08:00-14:00,15:00-19:00; Sa 10:00-13:00",,11002529645,13.3555514,52.5976674,,,,,,11012012,1210,group_practice
Dr. med. Erika Zahn,Wollankstraße,110,Berlin,13187,allergology;dermatovenereology,"Mo, Th 08:00-12:00, 15:00-19:00; Tu-We, Fr 08:00-12:00",,4831523441,13.395672,52.5656052,,,,,,11003003,307,practice
Dr. med. Esdert Toppe,Wilmersdorfer Straße,125,Berlin,10627,dermatology,"Mo-Th 09:00-13:00, Mo,Tu,Th 15:00-18:00",,9592884388,13.3061678,52.5094998,,,,,,11004004,401,practice
Dr. med. Eva Hacker;Doris Krause,Rüdesheimer Straße,43,Berlin,14197,gynaecology,"Mo,Tu,Th 08:00-18:00; We,Fr 08:00-13:00",http://www.falley-hacker.de/,8199219276,13.3120499,52.469045,no,,,,,11004004,402,group_practice
Dr. med. Eva Laufs,Gierkezeile,34,Berlin,10585,paediatrics,"Mo,We 10:00-12:00,15:00-18:00, Th,Fr 10:00-14:00, Tu 12:00-16:00",,4809449233,13.3036074,52.5159781,no,,,,,11004004,401,practice
Dr. med. Filiz Şenyuva,Plesser Straße,2,Berlin,12435,gynaecology,Mo 13:00-18:00; Tu-We 08:00-13:00; Th 13:00-18:00; Fr 08:00-13:00,https://www.frauenaerztin-treptow.de/,4006392903,13.452381,52.4892539,,,,,,11009009,901,practice
Dr. med. Florentine Jungbluth,Friedrichstraße,3,Berlin,13585,gynaecology,"Mo,Fr 08:30-13:30; Tu,Th 13:00-18:00",,4316387484,13.2044599,52.5414633,,,,,,11005005,501,practice
Dr. med. Frank Eickhoff,Hubertusallee,34,Berlin,14193,internal,"Mo,Fr 08:00-12:00; Tu,Th 08:00-12:00,15:00-18:00; We,Sa,Su,PH off",,5176025708,13.2850255,52.4888808,,,,,,11004004,404,practice
Dr. med. Frank Fechteler,Mierendorffplatz,12,Berlin,10589,general,"Mo,Tu,Th,Fr 08:30-12:30, Mo,Tu,Th 15:30-18:30",,6191846885,13.3049719,52.5254773,no,,,,,11004004,401,practice
Dr. med. Franziska Mietschke,Ehrenbergstraße,11,Berlin,10245,general,"Mo,Th,Fr 08:00-12:00; Tu 13:00-18:00",https://dr-mietschke.de/,7710302680,13.452399,52.5040086,limited,,,,,11002002,201,practice
Dr. med. Franziska Schwirkmann-Tjon,Grunewaldstraße,6,Berlin,12165,otolaryngology;allergology;acupuncture;homeopathy,"""Keine Angabe.""",http://www.hno-tjon.de/,3793792757,13.3183029,52.4579411,,"Stimm- und Sprachstörungen, Klassiche Homöopathie, Akupunktur, Allergiebehandlung, LASER-Therapie",,,,11006006,601,practice
Dr. med. G. Benesch,Bundesallee,95,Berlin,12161,neurology;psychiatry,"Mo,Tu,Th 08:30-12:00,15:00-18:00",,8378546954,13.3279562,52.4664723,,,,,,11007007,702,practice
Dr. med. Gabriele Proest,Friedrich-Wilhelm-Platz,6,Berlin,12161,neurology;psychiatry,"""Termine nach telefonischer Vereinbarung""",,8199219261,13.3275085,52.4720774,,,,,,11007007,702,practice
Dr. med. Georg Fibich,Dolgenseestraße,8,Berlin,10319,general,"Mo,We,Fr 08:00-11:00; Tu,Th 13:00-17:00",,6694854093,13.5076646,52.4938789,yes,,,,,11011011,1101,practice
Dr. med. Georgi Wassilew,Schönhauser Allee,129,Berlin,10437,general,Mo-Fr 09:00-13:00; Sa 10:00-13:00,,10075100457,13.4121924,52.545906,no,,,,,11003003,301,practice
Dr. med. Gertrud Stifel,Bassermannweg,,Berlin,12207,homeopathy,"""nach Vereinbarung""",https://www.stifel-berlin.de/,4643129389,13.3271344,52.4352359,,,praxis@stifel-berlin.de,,,11006006,602,practice
Dr. med. Gisela Fuß,Schwedlerstraße,11,Berlin,14193,general,,,2726891322,13.2713109,52.4855613,,,,,,11004004,404,practice
Dr. med. Gisela Hättasch,Delbrückstraße,25,Berlin,12051,internal;general,"Mo-Fr 08:30-12:30; Mo,Tu,Th 15:30-18:00",,7401129456,13.4356284,52.4651335,,"Ärztin für Innere Medizin, Hausärztliche Versorgung",,,,11008008,801,practice
Dr. med. Gisela Wilke,Hindenburgdamm,,Berlin,12203,gynaecology,"Mo 09:00-12:00,16:00-19:00; Tu,Fr 09:00-12:00; We 12:00-18:00",https://www.frauenaerzte-im-netz.de/aerzte/arzt_2909.html,4429361799,13.315035,52.4488685,,,,,,11006006,602,practice
Dr. med. Gunnar Riemer,Hauptstraße,131,Berlin,10827,neurology,"Mo, Tu 09:00-12:00, 14:00-17:00; We 09:00-12:00, 14:00-16:00; Th 09:00-13:00",,8223127035,13.3534821,52.4843281,,,,,,11007007,701,practice
Dr. med. H. und A. Fazel,Groß-Ziethener Straße,35,Berlin,12309,otolaryngology,"Mo,We 08:30-12:00, Mo,Tu,Th 15:00-18:00, Tu,Th,Fr 08:30-14:00",http://www.hno-fazel.de,4485202190,13.4103822,52.3944026,,,,,,11007007,706,practice
Dr. med. Hans-Detlef Dewitz,Bundesallee,48B,Berlin,10715,orthopaedics,"Mo-Fr 08:00-12:00, Mo,Th 15:00-18:00",https://www.orthopaediewilmersdorf.de/,7821177806,13.330578,52.4845611,,,,,,11004004,402,practice
Dr. med. Hans-Joachim Greiner,Karl-Marx-Straße,88,Berlin,12043,gynaecology,"Mo,Tu,Th 09:00-18:00; Fr 09:00-16:00",http://praxis-dr-greiner.de/,3058754378,13.4352527,52.4806293,no,,,,,11008008,801,practice
Dr. med. Havva Yildirim,Karl-Marx-Straße,165,Berlin,12043,general;internal,"Mo-Fr 08:30-14:00, Mo,Tu,Th 15:00-18:00, We,Fr 15:00-17:00",,8790423218,13.4400164,52.4752044,yes,,,,,11008008,801,practice
Dr. med. Heidrun Höppner,Helene-Weigel-Platz,10,Berlin,12681,,"Mo,We,Fr 08:00-12:00;Tu,Th 08:00-12:00,16:00-19:00;Sa,Su,PH off",,2021445735,13.541783,52.5276577,yes,,,,,11010010,1001,practice
Dr. med. Holger Kaiser,Welfenallee,,Berlin,13465,paediatrics;pulmonology;allergology,"Mo-Fr 09:00-12:00, Mo,Tu,Th 15:00-18:00",https://www.kinderarztkaiser.de,10226121705,13.2898991,52.6314362,no,,,,,11012012,1205,practice
Dr. med. Ines Hönicke,Wilmersdorfer Straße,125,Berlin,10627,anaesthetics,"""Termine nach Vereinbarung""",,9592884385,13.3061488,52.5095709,,,,,,11004004,401,practice
Dr. med. Inge Korsukéwitz,Schloßstraße,111,Berlin,12163,gynaecology,,,7776123986,13.3258406,52.4614723,,,,,,11006006,601,practice
Dr. med. Ingolf Hintner,Langhansstraße,117,Berlin,13086,general,"Mo 08:00-11:00; We 09:00-12:00; Fr 08:00-12:00; Tu, Th 15:00-19:00",https://www.familienpraxis-weissensee.de/,3938207560,13.4408967,52.5515505,no,,,,,11003003,302,practice
Dr. med. J. Ramez,Hertzbergstraße,30,Berlin,12055,general,"Mo,Tu,Th,Fr 08:00-12:00, Mo,Tu,Th 15:00-18:00",,7231134049,13.4471135,52.4752709,,,,,,11008008,801,practice
Dr. med. J.-D. Kropp,Lankwitzer Straße,3,Berlin,12209,allergology;dermatology,"Mo-Fr 09:00-12:00, Mo,Tu,Th 15:00-18:00; PH off",https://www.dr-kropp.de,5979243112,13.3289149,52.4286741,yes,,,,,11006006,602,practice
Dr. med. Jamal Alchikh,Residenzstraße,153,Berlin,13409,orthopaedics;trauma,"Mo-Fr 09:00-12:00, Mo,Tu,Th 15:00-18:00",,9461872781,13.3595486,52.5734881,,,,,,11012012,1201,practice
Dr. med. Jan Lokies,Hubertusallee,34,Berlin,14193,internal;cardiology,"Mo,Fr 08:00-12:00; Tu,Th 08:00-12:00,15:00-18:00; We,Sa,Su,PH off",,5176025707,13.2850228,52.4888146,,,,,,11004004,404,practice
Dr. med. Jana Böldt,Einbecker Straße,37,Berlin,10317,gynaecology,"Mo,Th 13:00-19:00; Tu,We 08:00-13:00; Fr 08:00-11:00",https://www.frauenarzt-boeldt.de,3247240561,13.5033924,52.5098605,no,,,,,11011011,1112,practice
Dr. med. Jeanette Zimmermann,Rosenfelder Straße,18,Berlin,10315,general;geriatrics,"Mo 08:00-12:00,13:00-16:00; Tu 14:00-18:00; We-Fr 08:00-12:00",https://zimmermann-arztpraxis.de,5818003954,13.5048089,52.5104734,,,,,,11011011,1101,practice
Dr. med. Jens Ferchland,Johann-Georg-Straße,21/22,Berlin,10709,general,"Mo,Tu,Th 08:00-12:00, 15:00-18:00, Fr 08:00-13:00, We ""nach Vereinbarung""",,7994883599,13.2980743,52.4961892,,,,,,11004004,407,practice
Dr. med. Jens Hennicke,Schloßstraße,112,Berlin,12163,anaesthetics,"""Sprechzeiten nach Vereinbarung""",,8177206749,13.3256713,52.4616493,no,,,,,11006006,601,practice
Dr. med. Jens Meyer,Koloniestraße,,Berlin,13359,gastroenterology;internal,"Mo, Tu, Th 07:30-16:00; We, Fr 07:30-14:00",https://www.gastropraxis-berlin-mitte.de,9199213142,13.3791368,52.55774,,,info@gastropraxis-berlin-mitte.de,,,11001001,106,practice
Dr. med. Joachim Wunderlich,Handjerystraße,38,Berlin,12159,internal;cardiology,"Mo-We 09:00-15:00; Th 09:00-14:00, Fr ""nach tel. Vereinbarung""",https://www.praxiswunderlich.de/,8379002240,13.332008,52.4705238,,,,,,11007007,702,practice
Dr. med. Jochen Glass,Galenstraße,,Berlin,13597,cardiology,,,5030353911,13.1952184,52.5358236,,,,,,11005005,501,practice
Dr. med. John Buckendahl,Bismarckstraße,24,Berlin,10625,urology,Mo-Tu 09:00-15:00; We 13:00-18:00; Th 12:00-18:00; Fr 09:00-13:00,,9560632314,13.31237,52.5123034,,,,,,11004004,401,practice
Dr. med. Josef Vogl,Zionskirchstraße,25,Berlin,10119,psychiatry;psychotherapy,"""by appointment""",,11019597063,13.4038043,52.535311,,,,,,11001001,101,practice
Dr. med. Josepha Schmidt,Mörikestraße,,Berlin,12437,paediatrics,"Mo 09:00-13:00, Tu 14:00-18:00, We-Fr 09:00-12:00, Th 15:00-18:00",,11358734527,13.4857736,52.4662825,limited,,,,,11009009,903,practice
Dr. med. Judit Andreae,Warschauer Straße,56,Berlin,10243,,"Mo, Th 08:30-12:00, 14:30-17:00; Tu-We, Fr 08:30-12:00",https://www.kinderaerzte-im-netz.de/aerzte/berlin/dr-med-judit-andreae/startseite.html,12358462101,13.4514147,52.5089493,,,Dr.Andreae@gmx.de,,,11002002,201,practice
Dr. med. Judith Knöchel,Boelckestraße,77,Berlin,12101,,We 09:00-12:00; Th 07:30-12:00; Mo 15:30-18:00,,9647710117,13.3774585,52.4767943,,,,,,11007007,703,practice
Dr. med. Julia Ertl,Karlsgartenstraße,,Berlin,12049,general,"Mo-We,Fr 09:00-11:00, Mo,Th 16:00-18:00",,7796210450,13.424566,52.4820008,no,,,,,11008008,801,practice
Dr. med. Julia Hake-Weiße,Wühlischstraße,57,Berlin,10245,general,"Mo,Th,Fr 08:00-13:00; Tu 12:00-18:00",https://praxis-hakeweisse.de/,5590792617,13.467787,52.5069998,no,Fachärztin für Allgemeinmedizin,info@praxis-hakeweisse.de,,,11002002,201,practice
Dr. med. Jürgen Bentzin;Meike Joepgen-Riecke,Aßmannshauser Straße,10a,Berlin,14197,orthopaedics;physiatry,"Mo-We,Fr 08:00-12:00, Mo,Tu 14:00-18:00, Th 09:00-12:00,15:00-19:00",https://www.sportmedizin-ruedesheimer-platz.de/,7814038849,13.3139363,52.475115,limited,,,,,11004004,402,group_practice
Dr. med. K. Kluge,Marchlewskistraße,101,Berlin,10243,otolaryngology,"Mo 08:00-12:00,14:00-16:00, Tu 08:00-12:00,14:00-16:00, We 13:00-18:00, Th 08:00-12:00,13:00-15:00, Fr 08:00-12:00",,5230847663,13.4487626,52.5090121,no,,,,,11002002,201,practice
Dr. med. Karim Soltani Allgemeinmedizin,Mariannenstraße,9-10,Berlin,10999,general,"Mo,Tu,Th,Fr 09:00-18:00; We 09:00-14:00",,872178153,13.4224908,52.4996901,,,,,,11002002,202,practice
Dr. med. Karolin Wicht,Prinzenstraße,96,Berlin,10969,general,"Mo,We,Fr 09:00-13:00; Tu,Th 15:00-19:00",,7247599260,13.4081697,52.5010582,,,,,,11002002,202,practice
Dr. med. Karsten Eulitz,Sonntagstraße,1,Berlin,10245,gynaecology,"Mo, Th 13:00-19:00; Tu, Fr 09:00-13:00; Tu 15:00-17:00; We 08:00-13:00",https://www.frauenaerzte.de/karsteneulitz,12383451513,13.4680513,52.5045071,yes,,,,,11002002,201,practice
